TSI;Sensirion;RMSE;MAE
130.53;-126.5143;95.30234126499015;56.589555569345336
130.38;-126.1714;95.30234126499015;56.589555569345336
129.95;-125.8571;95.30234126499015;56.589555569345336
130.18;-124.9714;95.30234126499015;56.589555569345336
130.36;-123.8571;95.30234126499015;56.589555569345336
129.6;-124.8571;95.30234126499015;56.589555569345336
129.13;-125.9429;95.30234126499015;56.589555569345336
129.1;-125.2286;95.30234126499015;56.589555569345336
128.26;-125.2286;95.30234126499015;56.589555569345336
128.14;-124.6;95.30234126499015;56.589555569345336
127.38;-124.1143;95.30234126499015;56.589555569345336
127.36;-122.8857;95.30234126499015;56.589555569345336
127.01;-122.7429;95.30234126499015;56.589555569345336
126.37;-120.4286;95.30234126499015;56.589555569345336
126.59;-120.8;95.30234126499015;56.589555569345336
126.12;-121.2571;95.30234126499015;56.589555569345336
126.49;-121.2571;95.30234126499015;56.589555569345336
126.23;-121.1143;95.30234126499015;56.589555569345336
126.27;-122.2286;95.30234126499015;56.589555569345336
126.21;-121.3714;95.30234126499015;56.589555569345336
124.73;-119.6571;95.30234126499015;56.589555569345336
125.07;-119.8286;95.30234126499015;56.589555569345336
125.0;-120.0;95.30234126499015;56.589555569345336
123.89;-118.4857;95.30234126499015;56.589555569345336
123.68;-119.8571;95.30234126499015;56.589555569345336
123.64;-119.0857;95.30234126499015;56.589555569345336
122.66;-119.2;95.30234126499015;56.589555569345336
123.34;-119.0571;95.30234126499015;56.589555569345336
123.01;-117.4857;95.30234126499015;56.589555569345336
123.29;-117.4;95.30234126499015;56.589555569345336
123.42;-117.3714;95.30234126499015;56.589555569345336
121.87;-117.8;95.30234126499015;56.589555569345336
121.57;-118.2286;95.30234126499015;56.589555569345336
122.0;-117.2286;95.30234126499015;56.589555569345336
121.48;-115.0286;95.30234126499015;56.589555569345336
121.25;-114.4286;95.30234126499015;56.589555569345336
120.0;-114.7429;95.30234126499015;56.589555569345336
119.9;-114.2286;95.30234126499015;56.589555569345336
118.98;-114.4286;95.30234126499015;56.589555569345336
119.13;-114.8286;95.30234126499015;56.589555569345336
119.22;-115.2;95.30234126499015;56.589555569345336
119.31;-114.7143;95.30234126499015;56.589555569345336
119.23;-114.5143;95.30234126499015;56.589555569345336
119.03;-114.0571;95.30234126499015;56.589555569345336
119.38;-113.8;95.30234126499015;56.589555569345336
118.56;-112.3714;95.30234126499015;56.589555569345336
117.83;-111.5714;95.30234126499015;56.589555569345336
117.98;-112.4857;95.30234126499015;56.589555569345336
117.23;-112.3143;95.30234126499015;56.589555569345336
116.76;-112.7143;95.30234126499015;56.589555569345336
